Country,Continent,Year,Shock_category,Shock_type,count
Albania,Europe,2013,CONFLICTS,Terrorist attack,1
Algeria,Africa,1990,CONFLICTS,Terrorist attack,2
Algeria,Africa,1990,ECONOMIC,Banking Crises,1
Algeria,Africa,1990,ECONOMIC,Currency Crises,1
Algeria,Africa,1990,TECHNOLOGICAL,Miscellaneous accident (General),1
Algeria,Africa,1991,CONFLICTS,Intrastate conflict,1
Algeria,Africa,1991,CONFLICTS,Terrorist attack,30
Algeria,Africa,1991,ECOLOGICAL,Infectious disease,1
Algeria,Africa,1991,ECONOMIC,Banking Crises,1
Algeria,Africa,1991,ECONOMIC,Currency Crises,1
Algeria,Africa,1991,ECONOMIC,Debt Crises,1
Algeria,Africa,1992,CLIMATIC,Flood,1
Algeria,Africa,1992,CONFLICTS,Intrastate conflict,1
Algeria,Africa,1992,CONFLICTS,Terrorist attack,215
Algeria,Africa,1992,ECONOMIC,Banking Crises,1
Algeria,Africa,1992,ECONOMIC,Currency Crises,1
Algeria,Africa,1992,GEOPHYSICAL,Earthquake,1
Algeria,Africa,1992,TECHNOLOGICAL,Road,1
Algeria,Africa,1993,CLIMATIC,Flood,1
Algeria,Africa,1993,CLIMATIC,Mass movement (wet),1
Algeria,Africa,1993,CONFLICTS,Intrastate conflict,1
Algeria,Africa,1993,CONFLICTS,Terrorist attack,311
Algeria,Africa,1993,ECONOMIC,Banking Crises,1
Algeria,Africa,1993,ECONOMIC,Currency Crises,1
Algeria,Africa,1994,CLIMATIC,Flood,2
Algeria,Africa,1994,CLIMATIC,Wildfire,1
Algeria,Africa,1994,CONFLICTS,Intrastate conflict,1
Algeria,Africa,1994,CONFLICTS,Terrorist attack,227
Algeria,Africa,1994,ECONOMIC,Banking Crises,1
Algeria,Africa,1994,ECONOMIC,Currency Crises,1
Algeria,Africa,1994,ECONOMIC,Debt Crises,1
Algeria,Africa,1994,GEOPHYSICAL,Earthquake,1
Algeria,Africa,1994,TECHNOLOGICAL,Rail,1
Algeria,Africa,1995,CONFLICTS,Intrastate conflict,1
Algeria,Africa,1995,CONFLICTS,Terrorist attack,185
Algeria,Africa,1995,ECONOMIC,Currency Crises,1
Algeria,Africa,1995,TECHNOLOGICAL,Collapse (Miscellaneous),1
Algeria,Africa,1996,CLIMATIC,Flood,1
Algeria,Africa,1996,CONFLICTS,Intrastate conflict,1
Algeria,Africa,1996,CONFLICTS,Terrorist attack,129
Algeria,Africa,1996,ECOLOGICAL,Infectious disease,1
Algeria,Africa,1996,ECONOMIC,Currency Crises,1
Algeria,Africa,1996,TECHNOLOGICAL,Rail,1
Algeria,Africa,1997,CLIMATIC,Flood,1
Algeria,Africa,1997,CONFLICTS,Intrastate conflict,1
Algeria,Africa,1997,CONFLICTS,Terrorist attack,344
Algeria,Africa,1997,ECONOMIC,Currency Crises,1
Algeria,Africa,1998,CONFLICTS,Intrastate conflict,1
Algeria,Africa,1998,CONFLICTS,Terrorist attack,151
Algeria,Africa,1998,ECONOMIC,Currency Crises,1
Algeria,Africa,1999,CLIMATIC,Flood,1
Algeria,Africa,1999,CONFLICTS,Intrastate conflict,1
Algeria,Africa,1999,CONFLICTS,Terrorist attack,106
Algeria,Africa,1999,GEOPHYSICAL,Earthquake,1
Algeria,Africa,1999,TECHNOLOGICAL,Road,1
Algeria,Africa,2000,CLIMATIC,Flood,4
Algeria,Africa,2000,CLIMATIC,Storm,1
Algeria,Africa,2000,CONFLICTS,Intrastate conflict,1
Algeria,Africa,2000,CONFLICTS,Terrorist attack,138
Algeria,Africa,2000,TECHNOLOGICAL,Road,1
Algeria,Africa,2001,CLIMATIC,Flood,1
Algeria,Africa,2001,CONFLICTS,Intrastate conflict,1
Algeria,Africa,2001,CONFLICTS,Terrorist attack,113
Algeria,Africa,2002,CLIMATIC,Flood,3
Algeria,Africa,2002,CONFLICTS,Intrastate conflict,1
Algeria,Africa,2002,CONFLICTS,Terrorist attack,132
Algeria,Africa,2002,TECHNOLOGICAL,Explosion (Miscellaneous),1
Algeria,Africa,2002,TECHNOLOGICAL,Fire (Miscellaneous),1
Algeria,Africa,2002,TECHNOLOGICAL,Road,2
Algeria,Africa,2002,TECHNOLOGICAL,Water,2
Algeria,Africa,2003,CLIMATIC,Extreme temperature,1
Algeria,Africa,2003,CLIMATIC,Flood,3
Algeria,Africa,2003,CLIMATIC,Storm,1
Algeria,Africa,2003,CONFLICTS,Intrastate conflict,1
Algeria,Africa,2003,CONFLICTS,Terrorist attack,75
Algeria,Africa,2003,ECOLOGICAL,Infectious disease,1
Algeria,Africa,2003,GEOPHYSICAL,Earthquake,2
Algeria,Africa,2003,TECHNOLOGICAL,Air,2
Algeria,Africa,2003,TECHNOLOGICAL,Road,3
Algeria,Africa,2004,CLIMATIC,Flood,2
Algeria,Africa,2004,CONFLICTS,Intrastate conflict,1
Algeria,Africa,2004,CONFLICTS,Terrorist attack,67
Algeria,Africa,2004,ECOLOGICAL,Infectious disease,1
Algeria,Africa,2004,GEOPHYSICAL,Earthquake,2
Algeria,Africa,2004,TECHNOLOGICAL,Explosion (Industrial),1
Algeria,Africa,2004,TECHNOLOGICAL,Explosion (Miscellaneous),1
Algeria,Africa,2004,TECHNOLOGICAL,Road,3
Algeria,Africa,2005,CLIMATIC,Flood,2
Algeria,Africa,2005,CLIMATIC,Storm,1
Algeria,Africa,2005,CONFLICTS,Intrastate conflict,1
Algeria,Africa,2005,CONFLICTS,Terrorist attack,104
Algeria,Africa,2005,TECHNOLOGICAL,Road,2
Algeria,Africa,2006,CLIMATIC,Flood,1
Algeria,Africa,2006,CONFLICTS,Intrastate conflict,1
Algeria,Africa,2006,CONFLICTS,Terrorist attack,152
Algeria,Africa,2006,GEOPHYSICAL,Earthquake,1
Algeria,Africa,2006,TECHNOLOGICAL,Road,2
Algeria,Africa,2007,CLIMATIC,Flood,6
Algeria,Africa,2007,CLIMATIC,Wildfire,1
Algeria,Africa,2007,CONFLICTS,Intrastate conflict,1
Algeria,Africa,2007,CONFLICTS,Terrorist attack,124
Algeria,Africa,2007,ECOLOGICAL,Aquaculture,1
Algeria,Africa,2008,CLIMATIC,Flood,1
Algeria,Africa,2008,CONFLICTS,Intrastate conflict,1
Algeria,Africa,2008,CONFLICTS,Terrorist attack,107
Algeria,Africa,2008,TECHNOLOGICAL,Road,2
Algeria,Africa,2009,CLIMATIC,Flood,2
Algeria,Africa,2009,CONFLICTS,Intrastate conflict,1
Algeria,Africa,2009,CONFLICTS,Terrorist attack,108
Algeria,Africa,2009,ECOLOGICAL,Infectious disease,1
Algeria,Africa,2009,TECHNOLOGICAL,Road,3
Algeria,Africa,2009,TECHNOLOGICAL,Water,1
Algeria,Africa,2010,CONFLICTS,Intrastate conflict,1
Algeria,Africa,2010,CONFLICTS,Terrorist attack,100
Algeria,Africa,2010,TECHNOLOGICAL,Road,2
Algeria,Africa,2011,CLIMATIC,Flood,1
Algeria,Africa,2011,CONFLICTS,Intrastate conflict,1
Algeria,Africa,2011,CONFLICTS,Terrorist attack,15
Algeria,Africa,2012,CLIMATIC,Flood,2
Algeria,Africa,2012,CONFLICTS,Intrastate conflict,1
Algeria,Africa,2012,CONFLICTS,Terrorist attack,41
Algeria,Africa,2012,TECHNOLOGICAL,Road,1
Algeria,Africa,2013,CONFLICTS,Intrastate conflict,1
Algeria,Africa,2013,CONFLICTS,Terrorist attack,22
Angola,Africa,1990,CONFLICTS,Intrastate conflict,1
Angola,Africa,1990,CONFLICTS,Terrorist attack,205
Angola,Africa,1990,ECONOMIC,Currency Crises,1
Angola,Africa,1990,TECHNOLOGICAL,Air,1
Angola,Africa,1990,TECHNOLOGICAL,Road,1
Angola,Africa,1991,CONFLICTS,Intrastate conflict,2
Angola,Africa,1991,CONFLICTS,Terrorist attack,16
Angola,Africa,1991,ECONOMIC,Currency Crises,1
Angola,Africa,1991,ECONOMIC,Debt Crises,1
Angola,Africa,1991,TECHNOLOGICAL,Air,2
Angola,Africa,1992,CONFLICTS,Intrastate conflict,2
Angola,Africa,1992,CONFLICTS,Terrorist attack,50
Angola,Africa,1992,ECONOMIC,Currency Crises,1
Angola,Africa,1992,ECONOMIC,Debt Crises,1
Angola,Africa,1992,TECHNOLOGICAL,Road,1
Angola,Africa,1993,CONFLICTS,Intrastate conflict,1
Angola,Africa,1993,CONFLICTS,Terrorist attack,34
Angola,Africa,1993,ECONOMIC,Currency Crises,1
Angola,Africa,1993,ECONOMIC,Debt Crises,1
Angola,Africa,1994,CONFLICTS,Intrastate conflict,2
Angola,Africa,1994,CONFLICTS,Terrorist attack,9
Angola,Africa,1994,ECONOMIC,Currency Crises,1
Angola,Africa,1994,ECONOMIC,Debt Crises,1
Angola,Africa,1994,TECHNOLOGICAL,Rail,1
Angola,Africa,1995,CONFLICTS,Intrastate conflict,2
Angola,Africa,1995,CONFLICTS,Terrorist attack,10
Angola,Africa,1995,ECOLOGICAL,Infectious disease,1
Angola,Africa,1995,ECONOMIC,Currency Crises,1
Angola,Africa,1995,ECONOMIC,Debt Crises,1
Angola,Africa,1995,TECHNOLOGICAL,Air,2
Angola,Africa,1995,TECHNOLOGICAL,Water,1
Angola,Africa,1996,CONFLICTS,Intrastate conflict,1
Angola,Africa,1996,CONFLICTS,Terrorist attack,4
Angola,Africa,1996,ECOLOGICAL,Infectious disease,1
Angola,Africa,1996,ECONOMIC,Currency Crises,1
Angola,Africa,1996,ECONOMIC,Debt Crises,1
Angola,Africa,1997,CLIMATIC,Drought,1
Angola,Africa,1997,CONFLICTS,Intrastate conflict,1
Angola,Africa,1997,CONFLICTS,Terrorist attack,7
Angola,Africa,1997,ECONOMIC,Currency Crises,1
Angola,Africa,1997,ECONOMIC,Debt Crises,1
Angola,Africa,1998,CONFLICTS,Intrastate conflict,3
Angola,Africa,1998,CONFLICTS,Terrorist attack,20
Angola,Africa,1998,ECOLOGICAL,Infectious disease,1
Angola,Africa,1998,ECONOMIC,Currency Crises,1
Angola,Africa,1998,ECONOMIC,Debt Crises,1
Angola,Africa,1998,TECHNOLOGICAL,Air,1
Angola,Africa,1999,CONFLICTS,Intrastate conflict,1
Angola,Africa,1999,CONFLICTS,Terrorist attack,34
Angola,Africa,1999,ECOLOGICAL,Infectious disease,2
Angola,Africa,1999,ECONOMIC,Currency Crises,1
Angola,Africa,1999,ECONOMIC,Debt Crises,1
Angola,Africa,1999,TECHNOLOGICAL,Air,1
Angola,Africa,2000,CLIMATIC,Flood,4
Angola,Africa,2000,CLIMATIC,Mass movement (wet),1
Angola,Africa,2000,CONFLICTS,Intrastate conflict,1
Angola,Africa,2000,CONFLICTS,Terrorist attack,22
Angola,Africa,2000,ECONOMIC,Currency Crises,1
Angola,Africa,2000,TECHNOLOGICAL,Air,3
Angola,Africa,2000,TECHNOLOGICAL,Collapse (Miscellaneous),1
Angola,Africa,2000,TECHNOLOGICAL,Road,4
Angola,Africa,2001,CLIMATIC,Drought,1
Angola,Africa,2001,CLIMATIC,Flood,2
Angola,Africa,2001,CONFLICTS,Intrastate conflict,1
Angola,Africa,2001,CONFLICTS,Terrorist attack,40
Angola,Africa,2001,ECOLOGICAL,Infectious disease,1
Angola,Africa,2001,ECONOMIC,Currency Crises,1
Angola,Africa,2001,TECHNOLOGICAL,Air,2
Angola,Africa,2001,TECHNOLOGICAL,Explosion (Miscellaneous),1
Angola,Africa,2001,TECHNOLOGICAL,Road,3
Angola,Africa,2001,TECHNOLOGICAL,Water,1
Angola,Africa,2002,CLIMATIC,Flood,1
Angola,Africa,2002,CONFLICTS,Intrastate conflict,1
Angola,Africa,2002,CONFLICTS,Terrorist attack,6
Angola,Africa,2002,ECONOMIC,Currency Crises,1
Angola,Africa,2002,TECHNOLOGICAL,Air,2
Angola,Africa,2003,CLIMATIC,Flood,2
Angola,Africa,2003,CONFLICTS,Intrastate conflict,1
Angola,Africa,2003,ECONOMIC,Currency Crises,1
Angola,Africa,2003,TECHNOLOGICAL,Road,2
Angola,Africa,2004,CLIMATIC,Drought,1
Angola,Africa,2004,CLIMATIC,Flood,3
Angola,Africa,2004,CONFLICTS,Intrastate conflict,1
Angola,Africa,2004,ECONOMIC,Currency Crises,1
Angola,Africa,2004,TECHNOLOGICAL,Fire (Miscellaneous),1
Angola,Africa,2004,TECHNOLOGICAL,Road,2
Angola,Africa,2005,CLIMATIC,Flood,1
Angola,Africa,2005,ECOLOGICAL,Infectious disease,2
Angola,Africa,2005,ECONOMIC,Currency Crises,1
Angola,Africa,2005,TECHNOLOGICAL,Road,1
Angola,Africa,2006,CLIMATIC,Flood,1
Angola,Africa,2006,ECOLOGICAL,Infectious disease,1
Angola,Africa,2006,ECOLOGICAL,Livestock,1
Angola,Africa,2006,ECONOMIC,Currency Crises,1
Angola,Africa,2006,TECHNOLOGICAL,Air,1
Angola,Africa,2007,CLIMATIC,Flood,2
Angola,Africa,2007,CONFLICTS,Intrastate conflict,1
Angola,Africa,2007,ECOLOGICAL,Infectious disease,2
Angola,Africa,2007,TECHNOLOGICAL,Chemical spill,1
Angola,Africa,2008,CLIMATIC,Flood,1
Angola,Africa,2008,TECHNOLOGICAL,Air,1
Angola,Africa,2008,TECHNOLOGICAL,Collapse (Miscellaneous),1
Angola,Africa,2008,TECHNOLOGICAL,Road,1
Angola,Africa,2009,CLIMATIC,Flood,3
Angola,Africa,2009,CONFLICTS,Intrastate conflict,1
Angola,Africa,2009,CONFLICTS,Terrorist attack,1
Angola,Africa,2009,ECOLOGICAL,Infectious disease,1
Angola,Africa,2009,TECHNOLOGICAL,Road,1
Angola,Africa,2010,CLIMATIC,Flood,3
